id;Название;Реставрация;Размер;Автор;Материал;Персоналии;Уточняющая датировка;Век;Страна;Место хранения;Иконография;Тип изображения;Фрагменты
5619;Страшный суд;False;53,3 х 44;None;дерево, левкас, темпера;Спаситель, Богородица, ангелы, пророки, апостолы, мученики, святители, преподобные, праведные, блаженные;первая половина;19;Россия;Дом икон на Спиридоновке;Сложные композиции;Сюжетная композиция;Страшный суд
5620;Николай Чудотворец;False;44,5 х 37,5;None;дерево, левкас, темпера;Николай Чудотворец;первая половина;19;Россия;Дом икон на Спиридоновке;Святые;Поясное;None
5621;Николай Чудотворец;False;68,4 х 51;None;дерево, левкас, темпера;Николай Чудотворец;конец;18;Россия;Дом икон на Спиридоновке;Святые;Поясное;None
5622;Деисус, крест-распятие, Богоматерь Страстная, с избранными святыми и праздниками;False;54 х 45;None;Дерево, левкас, темпера, медь, литье, эмаль, золочение;Спаситель, Богоматерь, святые;третья четверть;19;Россия;Дом икон на Спиридоновке;Сложные композиции;Многофигурное;None
5623;Спас Благое молчание, с Ангелом хранителем и избранными святыми на полях;False;31,3 х 26;None;дерево, левкас, темпера;Спаситель;первая половина;19;Россия;Дом икон на Спиридоновке;Спаситель;Поясное;None
5624;Союзом любви связуемы апостолы, с избранными образами Богоматери, святителем Николаем Чудотворцем и святыми из Лечебника;False;50,7 х 44,2;None;дерево, левкас, темпера;Богоматерь, Николай Чудотворец, апостолы, святые;вторая Половина;19;Россия;Дом икон на Спиридоновке;Сложные композиции;Многофигурное;None
5625;Распятие Господне;False;98,7 х 55,3;None;дерево, левкас, темпера;Спаситель;начало;19;Россия;Дом икон на Спиридоновке;Страстной и Пасхальный циклы;Ростовое;None
5626;Благовещение;False;53,7 х 45,8;None;дерево, левкас, темпера;Богоматерь, архангел Гавриил;начало;19;Россия;Дом икон на Спиридоновке;Праздники;Сюжетная композиция;None
5627;"Спас Смоленский, Богоматерь ""Всех скорбящих Радость"", усекновение главы святого Иоанна Предтечи и избранные святые с Ангелом хранителем";False;36 х 31;None;дерево, левкас, темпера;Богоматерь, Спаситель, Иоанн Предтеча, святые;первая половина;19;Россия;Дом икон на Спиридоновке;Сложные композиции;Многофигурное;None
5633;Марк апостол (из деисусного чина);False;321,0 х 129,0 см;Тимофеев Иван, Дмитриев Севастьян, Сергеев Степан, Чичагов Дмитрий Николаевич;Паволока, левкас, серебро, дерево;Апостол Марк;1653 г.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;None;None
5635;Троица Ветхозаветная, с избранными святыми на полях;False;35,5 х 31;None;Дерево, левкас, темпера;Ангелы, Авраам, Сара, святые;начало;19;Россия;Дом икон на Спиридоновке;Троица;Сюжетная композиция;None
5636;Собор Новгородских святых;False;54,4 х 46,8;None;Дерево, левкас, темпера;святые;первая треть;19;Россия;Дом икон на Спиридоновке;Святые;Многофигурное;None
5637;Иконостас;False;54 х 46,8;None;Дерево, левкас, темпера;None;первая треть;19;Россия;Дом икон на Спиридоновке;Сложные композиции;Многофигурное;None
